County,City,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Utility,Count
King,ALL,ALL,ALL,ALL,ALL,ALL,ALL,94460
Snohomish,ALL,ALL,ALL,ALL,ALL,ALL,ALL,21439
Clark,ALL,ALL,ALL,ALL,ALL,ALL,ALL,10675
Pierce,ALL,ALL,ALL,ALL,ALL,ALL,ALL,14043
ALL,Seattle,ALL,ALL,ALL,ALL,ALL,ALL,30045
ALL,ALL,2018,ALL,ALL,ALL,ALL,ALL,14290
ALL,ALL,2021,ALL,ALL,ALL,ALL,ALL,19034
ALL,ALL,2020,ALL,ALL,ALL,ALL,ALL,11851
ALL,ALL,2023,ALL,ALL,ALL,ALL,ALL,58393
ALL,ALL,2022,ALL,ALL,ALL,ALL,ALL,27922
ALL,ALL,2019,ALL,ALL,ALL,ALL,ALL,10921
ALL,ALL,ALL,TESLA,ALL,ALL,ALL,ALL,80816
ALL,ALL,ALL,CHEVROLET,ALL,ALL,ALL,ALL,13864
ALL,ALL,ALL,NISSAN,ALL,ALL,ALL,ALL,14037
ALL,ALL,ALL,ALL,MODEL 3,ALL,ALL,ALL,30149
ALL,ALL,ALL,ALL,LEAF,ALL,ALL,ALL,13356
ALL,ALL,ALL,ALL,MODEL Y,ALL,ALL,ALL,37007
ALL,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),ALL,ALL,39485
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,141970
ALL,ALL,ALL,ALL,ALL,ALL,Not eligible due to low battery range,ALL,19912
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,66813
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,94730
ALL,ALL,ALL,ALL,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),32012
ALL,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC,36705
ALL,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),67180
ALL,ALL,ALL,ALL,ALL,ALL,ALL,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),10420
Snohomish,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,12452
ALL,ALL,2023,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),24161
ALL,ALL,2020,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,10398
Snohomish,ALL,ALL,TESLA,ALL,ALL,ALL,ALL,11084
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,47231
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,51142
ALL,Seattle,ALL,TESLA,ALL,ALL,ALL,ALL,11900
ALL,ALL,2018,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,11977
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,76225
ALL,ALL,2020,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,10034
ALL,ALL,2022,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,23557
Pierce,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,10698
King,Seattle,ALL,ALL,ALL,ALL,ALL,ALL,30045
ALL,ALL,ALL,ALL,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,34636
ALL,ALL,ALL,TESLA,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12743
ALL,ALL,2023,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,51142
ALL,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),ALL,ALL,30149
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),37901
ALL,ALL,ALL,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,55309
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,29018
